FIPS,County,Population,Area (km^2),Latitude,Longitude
13023,Bleckley,13063,567.548,32.435403,-83.331717
13025,Brantley,18411,1158.249,31.197334,-81.982978
13027,Brooks,16243,1289.297,30.833696,-83.588971
13029,Bryan,30233,1177.035,32.017969,-81.438543
13031,Bulloch,70217,1783.532,32.393408,-81.74381
13033,Burke,23316,2162.595,33.063737,-82.00389
13035,Butts,23655,487.024,33.290355,-83.958221
13037,Calhoun,6694,734.463,31.521279,-84.62629
13039,Camden,50513,2025.021,30.916358,-81.636516
13043,Candler,10998,644.539,32.403986,-82.071446
13045,Carroll,110527,1304.928,33.582237,-85.080527
13047,Catoosa,63942,420.771,34.899393,-85.137353
13049,Charlton,12171,2026.34,30.779904,-82.139644
13051,Chatham,265128,1637.551,31.974756,-81.091768
13053,Chattahoochee,11267,650.516,32.347445,-84.788021
13055,Chattooga,26015,812.113,34.474179,-85.345289
13057,Cherokee,214346,1125.104,34.244317,-84.475057
13059,Clarke,116714,313.48,33.952234,-83.36713
13061,Clay,3183,562.635,31.619831,-84.992583
13063,Clayton,259424,373.817,33.552242,-84.412977
13065,Clinch,6798,2134.132,30.917653,-82.702614
13067,Cobb,688078,892.297,33.93994,-84.574166
13069,Coffee,42356,1560.857,31.549245,-82.844938
13071,Colquitt,45498,1441.689,31.189758,-83.769741
13073,Columbia,124053,796.692,33.550556,-82.251342
13075,Cook,17212,603.993,31.152935,-83.429552
13077,Coweta,127317,1154.66,33.352897,-84.762138
13079,Crawford,12630,845.511,32.709446,-83.979182
13081,Crisp,23439,727.66,31.914753,-83.753338
13083,Dade,16633,451.073,34.852424,-85.506201
13085,Dawson,22330,555.315,34.442842,-84.173284
13087,Decatur,27842,1613.997,30.877961,-84.577744
13089,DeKalb,691893,702.254,33.770661,-84.226343
13091,Dodge,21796,1303.058,32.160656,-83.156818
13093,Dooly,14918,1028.961,32.151995,-83.807167
13095,Dougherty,94565,866.694,31.535068,-84.214444
13097,Douglas,132403,520.655,33.699317,-84.765944
13099,Early,11008,1337.329,31.324191,-84.906723
13101,Echols,4034,1089.659,30.7085,-82.836132
13103,Effingham,52250,1250.784,32.361711,-81.343337
13105,Elbert,20166,969.216,34.115017,-82.842057
13107,Emanuel,22598,1787.562,32.5911,-82.299763
13109,Evans,11000,483.99,32.151902,-81.887618
13111,Fannin,23682,1015.172,34.863837,-84.319287
13113,Fayette,106567,516.241,33.412717,-84.493941
13115,Floyd,96317,1342.818,34.263677,-85.21373
13117,Forsyth,175511,640.157,34.225143,-84.127336
13119,Franklin,22084,690.105,34.375155,-83.227291
13121,Fulton,920581,1383.895,33.790034,-84.468182
13123,Gilmer,28292,1116.923,34.690541,-84.453984
13125,Glascock,3082,374.132,33.227491,-82.606913
13127,Glynn,79626,1515.785,31.212747,-81.496517
13129,Gordon,55186,927.327,34.509667,-84.873862
13131,Grady,25011,1192.078,30.875863,-84.244772
13133,Greene,15994,1052.081,33.576836,-83.167103
13135,Gwinnett,805321,1131.243,33.959101,-84.022938
13137,Habersham,43041,722.672,34.635108,-83.526406
13139,Hall,179684,1111.868,34.317588,-83.818497
13141,Hancock,9429,1239.776,33.26922,-83.000465
13143,Haralson,28780,733.42,33.795165,-85.220062
13145,Harris,32024,1224.95,32.731549,-84.912432
13147,Hart,25213,665.492,34.348733,-82.96329
13149,Heard,11834,779.831,33.290968,-85.139594
13151,Henry,203922,845.752,33.452881,-84.15444
13153,Houston,139900,983.991,32.458381,-83.662856
13155,Irwin,9538,939.551,31.604306,-83.277037
13157,Jackson,60485,888.623,34.134157,-83.565133
13159,Jasper,13900,967.269,33.314905,-83.687892
13161,Jeff Davis,15068,868.677,31.811615,-82.636825
13163,Jefferson,16930,1371.831,33.051874,-82.41905
13165,Jenkins,8340,912.901,32.794563,-81.971524
13167,Johnson,9980,794.072,32.689831,-82.661354
13169,Jones,28669,1024.124,33.020226,-83.562339
13171,Lamar,18317,481.309,33.07446,-84.146721
13173,Lanier,10078,517.45,31.038197,-83.063164
13175,Laurens,48434,2119.828,32.39322,-82.926317
13177,Lee,28298,936.884,31.818419,-84.146681
13179,Liberty,63453,1560.539,31.807245,-81.457969
13181,Lincoln,7996,666.398,33.792151,-82.448299
13183,Long,14464,1045.872,31.749563,-81.74287
13185,Lowndes,109233,1322.384,30.83368,-83.268967
13187,Lumpkin,29966,736.066,34.568149,-83.998828
13189,McDuffie,21875,689.941,33.482464,-82.473188
13191,McIntosh,14333,1486.377,31.482978,-81.370199
13193,Macon,14740,1051.513,32.366216,-84.052162
13195,Madison,28120,739.669,34.128486,-83.203637
13197,Marion,8742,951.77,32.359538,-84.529561
13199,Meriwether,21992,1308.996,33.03022,-84.663279
13201,Miller,6125,734.683,31.162908,-84.730386
13205,Mitchell,23498,1330.797,31.22894,-84.192407
13207,Monroe,26424,1030.326,33.017435,-83.922938
13209,Montgomery,9123,633.752,32.172108,-82.533349
13211,Morgan,17868,918.463,33.593732,-83.492324
13213,Murray,39628,897.852,34.797097,-84.73799
13215,Muscogee,189885,572.404,32.510197,-84.874946
13217,Newton,99958,723.119,33.544046,-83.855189
13219,Oconee,32808,482.701,33.834125,-83.437728
13221,Oglethorpe,14899,1144.874,33.866806,-83.074081
13223,Paulding,142324,814.141,33.920903,-84.866979
13225,Peach,27695,391.867,32.571324,-83.831978
13227,Pickens,29431,602.722,34.456621,-84.490256
13229,Pierce,18758,888.961,31.353988,-82.210427
13231,Pike,17869,568.256,33.090769,-84.386627
13233,Polk,41475,808.441,33.995961,-85.186826
13235,Pulaski,12010,650.622,32.238794,-83.481855
13237,Putnam,21218,934.174,33.321061,-83.37179
13239,Quitman,2513,415.861,31.861487,-85.009317
13241,Rabun,16276,976.122,34.883026,-83.404735
13243,Randolph,7719,1115.957,31.762651,-84.752311
13245,Richmond,200549,851.047,33.361487,-82.074998
13247,Rockdale,85215,342.132,33.652081,-84.02637
