,State,County,Population_Estimate_2015,LACCESS_POP15,LACCESS_LOWI15,LACCESS_HHNV15,LACCESS_SNAP15,LACCESS_CHILD15,LACCESS_SENIORS15,LACCESS_WHITE15,LACCESS_BLACK15,LACCESS_HISP15,LACCESS_NHASIAN15,LACCESS_NHNA15,LACCESS_MULTIR15,FOODINSEC_15_17,VLFOODSEC_15_17,MEDHHINC15,POVRATE15,GROC15,SUPERC15,CONVS15,SPECS15,WICS15,FFR15,SNAPS15
2447,TN,Decatur,11595,895.5762306,346.4972396,154.5697096,69.80749077,150.2045259,219.9008924,862.3127638,15.97453603,14.10365578,0,6.943274957,10.34565531,12.9,5.7,38771,19.4,3.949816048,0,8.79926419,0,3.949816048,6.100367905,14.02988715
2448,TN,DeKalb,19308,395.9009773,142.3108835,214.7029209,40.29250973,97.41200074,58.10124073,357.0621747,10.05038793,26.50269506,2.093819215,0.006544205,26.68805554,12.9,5.7,43804,20.2,4,1,7.849448143,2,3.949816048,5.949816048,18.66636008
2449,TN,Dickson,51327,6387.407977,2576.690466,581.2393417,320.0967804,1638.505645,920.4277999,5731.672809,344.9754932,255.0525992,18.56140831,16.52393945,275.6226131,12.9,5.7,47621,16.4,6.899632095,1,32.69889629,1.050183952,8.050183952,39.35128767,62.77366927
2450,TN,Dyer,37775,12712.0537,5235.224419,647.9961533,1192.48796,3369.162043,1642.840474,8511.73227,3699.484049,331.5140042,74.20250641,18.37739431,407.2574824,12.9,5.7,43391,22.5,6.949816048,1,31.25091976,2.100367905,4,23.05018395,46.71297521
2451,TN,Fayette,39231,2233.377903,932.2230702,403.0900514,194.2333238,523.6435217,322.4024039,1132.871725,1053.565712,31.59801859,2.424851949,3.537374672,40.97825026,12.9,5.7,56710,13.8,3.949816048,1,25.30110371,1,5,12.05018395,30.25356882
2452,TN,Fentress,17859,37.12672827,18.76550515,373.8478017,4.555255471,6.294762383,6.706467948,36.59391179,0.001389754,0.001389754,0.153692987,0.113982617,0.263750402,12.9,5.7,31824,25.7,3.949816048,1,9.050183952,0,4.949816048,8.050183952,19.72878343
2453,TN,Franklin,41320,8150.826633,2905.61274,710.0784501,617.0314075,1869.284048,1542.465898,7431.71159,369.3681387,198.3788367,49.86899253,30.14804516,264.2261885,12.9,5.7,47286,15,4.749080238,1,39.50183952,0,4.899632095,22.35128767,36.67859948
2454,TN,Gibson,49215,6040.648371,3195.696503,534.8061276,494.6061309,1424.33079,1282.643041,4259.337708,1610.951799,130.4063165,17.52521431,15.9032443,136.9303865,12.9,5.7,40789,15.7,12.84944814,2,29.84944814,0,12.8996321,29,59.06426288
2455,TN,Giles,28967,3490.058378,1491.771016,491.9007175,220.0687464,727.429248,647.9177926,3162.89928,224.9535665,38.68355341,12.41337275,10.51618381,78.26805684,12.9,5.7,42207,16.1,6,1,28.1003679,1,4.949816048,22.1003679,34.30885453
2456,TN,Grainger,22844,0,0,336.4940791,0,0,0,0,0,0,0,0,0,12.9,5.7,38103,18.7,5.050183952,0,17.30110371,1,6,2.849448143,25.47072603
