FIPS,County,NEAREST_1,NEAREST_2,NEAREST_3,NEAREST_4,NEAREST_5,NEAREST_6,NEAREST_7,NEAREST_8,NEAREST_9,NEAREST_10,NEAREST_11,NEAREST_12,NEAREST_13,NEAREST_14,NEAREST_15,NEAREST_16,NEAREST_17,NEAREST_18,NEAREST_19,NEAREST_20
5047,Franklin,5047,21147,22063,36037,37109,47101,40071,17031,26037,12073,46027,29181,51117,48483,39085,19049,48287,12039,33011,37035
5049,Fulton,5049,37177,37033,37199,40021,48209,47087,48233,36107,22099,31107,36007,47133,37145,40001,40047,37115,12001,26015,48377
5051,Garland,5051,40065,27117,21129,26011,48103,34013,51085,33003,18181,55057,12009,1103,51760,21197,45057,34031,35057,28077,41017
5053,Grant,5053,51159,20075,53075,18067,45031,28067,29197,17145,55137,13017,42003,16037,26069,51193,36059,6023,21063,1095,48001
5055,Greene,5055,48245,47001,30035,37067,40143,41029,37041,48055,47043,31043,36097,19193,19075,30091,48201,19187,47141,47129,47189
5057,Hempstead,5057,51047,28049,16085,13249,1127,39013,55019,50009,46039,48139,21097,21201,29189,29079,8049,26135,12093,18045,6113
5059,Hot Spring,5059,8099,6077,36085,8069,30079,48161,21165,42007,18015,28065,17157,13287,34017,29171,51033,36047,49035,19007,20073
5061,Howard,5061,48101,29081,42017,4003,39157,48217,56029,50005,28021,26103,21209,26143,48301,55053,13307,13273,21067,1093,27035
5063,Independence,5063,16017,19113,47163,16067,19151,47175,38099,48291,51520,56015,37037,12003,47091,25013,21035,40041,48177,37183,48187
5065,Izard,5065,25003,48091,48465,41033,36109,38075,37143,48201,47059,48055,37081,19187,22113,12037,36097,30035,48245,19075,38095
5067,Jackson,5067,47143,53029,9013,29119,48199,31157,31119,40109,26023,42083,36053,12031,56025,21035,47121,19031,51191,40007,6019
5069,Jefferson,5069,18053,20093,8123,45033,26095,28153,17055,35011,40033,13005,31035,48073,13161,38003,21159,54099,41013,45067,19177
5071,Johnson,5071,29023,26155,48463,47119,35049,12065,39007,48051,21235,51025,30073,51081,55049,40113,51595,31115,40129,33011,46127
5073,Lafayette,5073,20061,46021,48113,12043,39025,45009,28163,6101,13079,34001,17083,54095,1125,48207,49019,51107,21037,55119,5027
5075,Lawrence,5075,37189,36017,30041,38009,25027,37063,25015,37193,2261,12109,40119,37135,37069,12007,12037,27077,38079,48043,6107
